wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,year,bra_id,cbo_id,ibge_id
26784.57,98,98,34,273.31,36.786,None,None,None,None,2002,4mg070007,6,3125200
446848.93,1719,1723,286,259.34,36.46,None,None,None,None,2002,4mg070008,6,3139003
133887.28,508,508,162,263.56,37.776,None,None,None,None,2002,4mg070009,6,3147204
37538.71,159,159,77,236.09,37.484,None,None,None,None,2002,4mg070010,6,3151701
81105.86,338,338,53,239.96,37.225,None,None,None,None,2002,4mg070011,6,3166907
46118.20,180,180,88,256.21,36.983,None,None,None,None,2002,4mg070100,6,3101201
56775.74,245,245,110,231.74,37.31,None,None,None,None,2002,4mg070101,6,3102803
624.88,3,3,3,208.29,43.667,None,None,None,None,2002,4mg070102,6,3103603
17428.94,58,58,29,300.50,35.328,None,None,None,None,2002,4mg070103,6,3107208
8355.16,32,32,20,261.10,37.406,None,None,None,None,2002,4mg070104,6,3107505
4999.89,17,17,9,294.11,38.412,None,None,None,None,2002,4mg070105,6,3114808
78894.83,317,317,128,248.88,38.385,None,None,None,None,2002,4mg070106,6,3120805
31793.73,119,119,53,267.17,38.605,None,None,None,None,2002,4mg070107,6,3138500
13780.47,62,62,32,222.27,38.677,None,None,None,None,2002,4mg070108,6,3141900
7372.25,31,31,18,237.82,38.871,None,None,None,None,2002,4mg070109,6,3147808
48958.77,210,210,92,233.14,37.338,None,None,None,None,2002,4mg070110,6,3165305
5533.48,21,21,10,263.50,39.571,None,None,None,None,2002,4mg070111,6,3166402
7990.13,34,34,18,235.00,35.618,None,None,None,None,2002,4mg070112,6,3167004
60992.02,286,286,97,213.26,37.783,None,None,None,None,2002,4mg070200,6,3108909
1676.85,8,8,3,209.61,37.0,None,None,None,None,2002,4mg070201,6,3118502
60603.74,274,274,81,221.18,38.245,None,None,None,None,2002,4mg070202,6,3120508
33360.47,154,154,73,216.63,38.071,None,None,None,None,2002,4mg070203,6,3121100
17780.83,81,81,24,219.52,37.037,None,None,None,None,2002,4mg070204,6,3122801
76260.85,330,331,147,230.40,37.967,None,None,None,None,2002,4mg070205,6,3132404
59053.49,278,278,91,212.42,37.831,None,None,None,None,2002,4mg070206,6,3139904
4986.52,24,24,17,207.77,37.292,None,None,None,None,2002,4mg070207,6,3140407
57278.09,232,232,84,246.89,35.642,None,None,None,None,2002,4mg070208,6,3147303
18680.04,79,80,42,233.50,36.65,None,None,None,None,2002,4mg070209,6,3150901
35686.79,150,150,56,237.91,36.067,None,None,None,None,2002,4mg070210,6,3151008
20429.81,88,88,39,232.16,39.102,None,None,None,None,2002,4mg070211,6,3171709
9496.66,45,45,19,211.04,37.711,None,None,None,None,2002,4mg070212,6,3172202
85133.64,297,297,115,286.65,37.613,None,None,None,None,2002,4mg070300,6,3101904
30505.36,113,113,25,269.96,36.619,None,None,None,None,2002,4mg070301,6,3107604
50327.75,186,186,79,270.58,37.677,None,None,None,None,2002,4mg070302,6,3112406
46339.75,126,126,49,367.78,36.635,None,None,None,None,2002,4mg070303,6,3112802
141356.51,478,478,208,295.73,39.163,None,None,None,None,2002,4mg070304,6,3115102
17689.52,61,61,43,289.99,39.164,None,None,None,None,2002,4mg070305,6,3116407
61788.40,217,217,92,284.74,37.041,None,None,None,None,2002,4mg070306,6,3121209
33905.73,112,112,31,302.73,36.241,None,None,None,None,2002,4mg070307,6,3126307
123609.59,475,476,171,259.68,37.017,None,None,None,None,2002,4mg070308,6,3129707
19900.20,66,66,15,301.52,34.758,None,None,None,None,2002,4mg070309,6,3133758
576305.34,1363,1363,370,422.82,38.89,None,None,None,None,2002,4mg070310,6,3147907
27024.88,105,105,67,257.38,37.667,None,None,None,None,2002,4mg070311,6,3152907
74741.18,218,218,90,342.85,36.587,None,None,None,None,2002,4mg070312,6,3162203
19908.40,61,61,20,326.37,34.311,None,None,None,None,2002,4mg070313,6,3162948
19456.06,68,68,24,286.12,35.132,None,None,None,None,2002,4mg070400,6,3101409
325217.61,1095,1095,248,297.00,34.234,None,None,None,None,2002,4mg070401,6,3102605
7766.32,29,29,7,267.80,37.241,None,None,None,None,2002,4mg070402,6,3105301
253668.48,901,901,136,281.54,38.178,None,None,None,None,2002,4mg070403,6,3108404
50709.14,182,182,101,278.62,36.984,None,None,None,None,2002,4mg070404,6,3110301
179930.25,661,663,69,271.39,35.881,None,None,None,None,2002,4mg070405,6,3111002
5252.52,20,20,12,262.63,36.0,None,None,None,None,2002,4mg070406,6,3129905
30402.65,96,96,29,316.69,37.792,None,None,None,None,2002,4mg070407,6,3130606
126853.77,492,492,163,257.83,37.64,None,None,None,None,2002,4mg070408,6,3134905
59488.03,240,240,87,247.87,36.692,None,None,None,None,2002,4mg070409,6,3143401
148804.18,577,577,172,257.89,37.78,None,None,None,None,2002,4mg070410,6,3146008
307641.24,1023,1023,181,300.73,38.507,None,None,None,None,2002,4mg070411,6,3151800
